IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.197.222,8880,8880,false,NRT,Asia Pacific,Tokyo,70,20.88
132.145.127.21,2052,2052,false,NRT,Asia Pacific,Tokyo,71,20.87
151.145.65.203,2082,2082,false,NRT,Asia Pacific,Tokyo,71,20.75
132.145.123.238,2052,2052,false,NRT,Asia Pacific,Tokyo,68,20.75
151.145.74.199,2086,2086,false,NRT,Asia Pacific,Tokyo,73,20.72
132.145.112.247,2086,2086,false,NRT,Asia Pacific,Tokyo,69,20.60
158.101.89.33,8880,8880,false,NRT,Asia Pacific,Tokyo,70,20.58
132.145.123.14,2082,2082,false,NRT,Asia Pacific,Tokyo,70,20.52
140.238.13.96,443,443,true,ICN,Asia Pacific,Seoul,148,20.51
151.145.74.199,2095,2095,false,NRT,Asia Pacific,Tokyo,70,20.47
151.145.66.219,2052,2052,false,NRT,Asia Pacific,Tokyo,69,20.41
132.145.127.21,80,80,false,NRT,Asia Pacific,Tokyo,70,20.40
168.138.200.159,8080,8080,false,NRT,Asia Pacific,Tokyo,70,20.38
132.145.117.216,2086,2086,false,NRT,Asia Pacific,Tokyo,71,20.30
155.248.165.169,2053,2053,true,NRT,Asia Pacific,Tokyo,71,20.30
140.238.28.86,443,443,true,ICN,Asia Pacific,Seoul,122,20.25
151.145.65.8,2052,2052,false,NRT,Asia Pacific,Tokyo,67,20.24
146.56.151.2,8443,443,true,ICN,Asia Pacific,Seoul,113,20.09
158.101.94.15,2095,2095,false,NRT,Asia Pacific,Tokyo,70,20.08
132.145.120.182,8080,8080,false,NRT,Asia Pacific,Tokyo,70,20.05
151.145.65.203,2095,2095,false,NRT,Asia Pacific,Tokyo,73,19.95
132.145.126.204,80,80,false,NRT,Asia Pacific,Tokyo,69,19.94
168.138.200.155,2095,2095,false,NRT,Asia Pacific,Tokyo,68,19.93
132.145.114.250,2082,2082,false,NRT,Asia Pacific,Tokyo,75,19.93
141.147.179.64,8080,8080,false,NRT,Asia Pacific,Tokyo,71,19.93
150.230.199.181,443,443,true,SIN,Asia Pacific,Singapore,91,19.89
151.145.65.203,2086,2086,false,NRT,Asia Pacific,Tokyo,76,19.84
168.138.195.31,2086,2086,false,NRT,Asia Pacific,Tokyo,68,19.84
151.145.65.203,80,80,false,NRT,Asia Pacific,Tokyo,74,19.81
132.145.123.238,8080,8080,false,NRT,Asia Pacific,Tokyo,69,19.80
151.145.74.199,8880,8880,false,NRT,Asia Pacific,Tokyo,70,19.63
168.138.200.159,2095,2095,false,NRT,Asia Pacific,Tokyo,69,19.60
158.101.148.221,8080,8080,false,HKG,Asia Pacific,Hong Kong,126,19.58
168.138.200.159,8880,8880,false,NRT,Asia Pacific,Tokyo,70,19.55
151.145.65.8,2082,2082,false,NRT,Asia Pacific,Tokyo,69,19.54
158.101.95.113,8880,8880,false,NRT,Asia Pacific,Tokyo,67,19.45
132.145.127.21,8880,8880,false,NRT,Asia Pacific,Tokyo,71,19.42
168.138.200.159,80,80,false,NRT,Asia Pacific,Tokyo,71,19.41
158.101.148.221,80,80,false,HKG,Asia Pacific,Hong Kong,131,19.38
132.145.126.204,8080,8080,false,NRT,Asia Pacific,Tokyo,70,19.36
168.138.200.155,8080,8080,false,NRT,Asia Pacific,Tokyo,71,19.29
168.138.200.155,8880,8880,false,NRT,Asia Pacific,Tokyo,71,19.21
168.138.200.155,2082,2082,false,NRT,Asia Pacific,Tokyo,67,19.20
